iata1,lat1,long1
ELH,25.47461802,-76.68477844
BCN,41.29681053,2.07828495
ACE,28.93739495,-13.60353322
PVG,31.14992359,121.7830405
CDG,49.00960656,2.5485676
HLD,49.19982811,119.6997135
EWR,40.69572192,-74.17144765
SAH,15.47853321,44.21906033
URC,43.89986629,87.48311688
SAW,40.89929335,29.3090718
CEK,55.29986631,61.4998281
DKR,14.74079448,-17.49046982
IXR,23.314343,85.32335752
SYR,43.1104469,-76.10231091
VCE,45.50511839,12.35190985
MUB,-19.97074101,23.43048127
YQT,48.38319327,-89.2497708
CIA,41.79929335,12.5971925
CID,41.88432007,-91.70586324
FMY,26.58323147,-81.86642474
CNQ,-27.44965621,-58.76207028
TLV,32.01210847,34.88239112
ECP,30.3576967,-85.79868219
GNB,45.36262413,5.32969822
RUH,24.96657753,46.6998472
KUN,54.8998281,23.91657753
MES,3.56109624,98.67249808
MBJ,18.50185254,-77.91228036
BEY,33.81268143,35.49018333
YQB,46.78905652,-71.39788005
SXM,18.04354468,-63.11178379
TGH,-16.90353322,168.5462567
CPT,-33.96462948,18.60217722
MED,24.54493887,39.7210084
YUL,45.46375093,-73.74980899
BHB,44.44875858,-68.36149731
POA,-29.99323909,-51.17068371
LPL,53.33817799,-2.86661572
KAL,64.32175323,-158.7356952
EZE,-34.81988158,-58.53374712
LIM,-12.02658517,-77.12257447
ANC,61.16900304,-149.9848739
MXP,45.62985101,8.72303284
DTM,51.51652023,7.59998089
NVA,2.95273108,-75.29782275
SKG,40.5195951,22.97074102
LIS,38.78181817,-9.13326966
TOF,56.49986629,84.96646293
GDL,20.52381587,-103.3122422
OAK,37.72351029,-122.2152215
ICN,37.4248854,126.3746562
LNV,-3.06663481,152.616291
MHK,39.14209319,-96.66864018
RJK,45.2157181,14.5682773
HKG,22.31659663,113.9163483
DRS,51.13321236,13.76659663
TWU,4.26411381,117.8844156
TPA,27.97293735,-82.53506493
MLH,47.58987776,7.52910618
MUC,48.35374331,11.78605805
CYO,21.61661572,-81.51646294
KHI,24.90544308,67.15674178
YYZ,43.68317416,-79.63309778
SSH,27.8499236,34.26657753
IAD,38.94986629,-77.4497899
BFL,35.42990832,-119.0519289
CNB,-30.98072955,148.3779603
DSM,41.53378532,-93.65643621
DEN,39.85462184,-104.7177617
WMI,52.45095492,20.65158516
BET,60.78426278,-161.8309778
MDT,40.19295263,-76.76201298
GVA,46.23792971,6.10886172
HAM,53.63009929,9.98829257
BEG,44.81906034,20.31216577
JER,49.21094345,-2.21665392
BKO,12.63214285,-8.02660426
BRU,50.90122229,4.48441558
KGS,36.7932009,27.09155844
MAD,40.47209701,-3.56327348
JGN,39.83319327,98.41638654
FRA,50.03875094,8.57051182
HAK,20.09994269,110.3496944
EAM,17.61159281,44.42956453
MKP,-16.44992359,-143.6663102
ORF,36.89570282,-76.2012032
VRA,23.16657753,-81.26642475
STL,38.74709701,-90.36422841
LAS,36.07987012,-115.1519289
BQN,18.49577922,-67.12981282
ABV,8.99994268,7.26663483
IND,39.71711228,-86.29423223
PUJ,18.56659663,-68.38315507
AER,43.44986629,39.93323146
XIY,34.43325057,108.7497135
GRU,-23.43323147,-46.48321236
AMS,52.30817416,4.76802901
CAY,4.81661573,-52.36650113
DLC,38.96653933,121.5496753
BHD,54.61650113,-5.88328876
MSY,29.99100457,-90.2511268
MCO,28.43187546,-81.32452252
BAQ,10.89608479,-74.77866691
BEL,-1.44998089,-48.48317416
ORY,48.7287433,2.35720015
DUB,53.42125667,-6.26997708
NRT,35.76377005,140.3907754
IMT,45.81543162,-88.11394192
FNC,32.69404125,-16.77799846
SYD,-33.94406034,151.1754774
RIC,37.50601602,-77.3223071
EVN,40.1498663,44.3998854
HAV,22.98936209,-82.40729563
RKV,64.12981282,-21.94045072
CGN,50.865699,7.14270434
CHQ,35.53155079,24.14965622
KND,-2.92247897,25.91378913
CMB,7.1749618,79.88451107
XIL,43.96655844,116.0663675
CUN,21.03323146,-86.86644384
NCL,55.03762413,-1.68661191
LGW,51.14788005,-0.19663864
TYS,35.81212757,-83.99226508
CLT,35.21906033,-80.93559969
DAR,-6.87524826,39.20185254
GCM,19.29241787,-81.35781129
YVR,49.18705117,-123.1849503
TGZ,16.73325055,-93.18305957
LCY,51.5051184,0.055233
BER,52.36678762,13.50022917
FAR,46.91539342,-96.81445758
MSP,44.88598166,-93.21755155
EBB,0.04245606,32.4379297
ALC,38.28323147,-0.56665393
TIJ,32.54129105,-116.9699771
ADL,-34.94822382,138.5343965
MCI,39.29266614,-94.72643238
CHA,35.03628723,-85.20338043
CLJ,46.78321237,23.68326965
ATL,33.64073719,-84.42702444
ACY,39.4498854,-74.58311687
LPA,27.93185636,-15.38657371
YRL,51.04984719,-93.81640564
MDW,41.78485485,-87.75171885
MRS,43.43542779,5.21636745
AEP,-34.55878532,-58.4156608
SCL,-33.38325055,-70.78315507
AYT,36.90544307,30.79045071
LED,59.79980899,30.2998854
BHM,33.5629297,-86.75534757
BDA,32.36516424,-64.68982047
CTG,10.44660045,-75.51061878
SNA,33.67545836,-117.8666539
FUK,33.58212375,130.4530176
PDX,45.58905651,-122.5946906
CHC,-43.48819708,172.5328877
YHD,49.78321236,-92.83309777
GSP,34.90490831,-82.20979755
LBG,48.97179144,2.44245607
MEL,-37.66157371,144.8329641
OSL,60.1998472,11.08326965
